case_title,case_url,pdf_url
pdpc_case_36,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-fwd-singapore,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/fwd-singapore-pte-ltd---summary-of-decision---13032020.pdf
pdpc_case_37,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-mcst-3400,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---mcst-3400-17032020.pdf
pdpc_case_38,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-mdis-corporation,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---mdis-corporation-pte-ltd---17032020.pdf
pdpc_case_39,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-singapore-accountancy-commission,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-accountancy-commission---22062020.pdf
pdpc_case_40,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-zero1-and-ip-tribe,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---zero1-and-ip-tribe---07042020.pdf
pdpc_case_41,https://www.pdpc.gov.sg/all-commissions-decisions/2020/09/breach-of-the-protection-and-retention-limitation-obligations-by-singapore-red-cross,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-red-cross---05052020.pdf
pdpc_case_42,https://www.pdpc.gov.sg/all-commissions-decisions/2020/09/breach-of-the-protection-obligation-by-civil-service-club,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---civil-service-club-01042020.pdf
pdpc_case_43,https://www.pdpc.gov.sg/all-commissions-decisions/2020/09/breach-of-the-protection-obligation-by-grabcar,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---grabcar-pte-ltd---24072020.pdf
pdpc_case_44,https://www.pdpc.gov.sg/all-commissions-decisions/2020/09/breach-of-the-protection-obligation-by-singapore-medical-association,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-medical-association---21072020.pdf
pdpc_case_45,https://www.pdpc.gov.sg/all-commissions-decisions/2020/09/no-breach-of-the-protection-obligation-by-singtel,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-telecommunications-limited---05082020.pdf
pdpc_case_46,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-chan-brothers-travel,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---chan-brothers-travel-pte-ltd---21072020.pdf
